name,artist,videoID,emotion
SAUNA SONG,Lucky Kilimanjaro,fWD3oEiyjdk,happy
愛のままにわがままに 僕は君だけを傷つけない,B'z,FwP0I7-jEw0,happy
MIRROR MIRROR,HIRAIDAI,FZlBKl-spfY,happy
LIFE,Kimaguren,ZdTD9aewyhI,happy
夏を生きる,Ryokuoushoku Shakai,I6VkVm4J3bM,happy
真生活 - Cover,Kotoha,C0uCU8jcxlM,happy
名前の無い歌,Yamazaru,zGUWVqTZS_U,happy
桜花爛漫,KEYTALK,ChfQ7iqyOnA,happy
トレイン,Ketsumeishi,e3fjjkLZE2w,happy
CHE.R.RY,YUI,wAPTM0uRMho,happy
Hana,Fujii Kaze,rY3JFD52ipk,happy
涙の海で抱かれたい~SEA OF LOVE~,サザンオールスターズ,w-j7Yk5HStA,happy
BE TOGETHER　<ORIGINAL MIX>,Ami Suzuki,URSRcxUsJwc,happy
白い雲のように,Saruganseki,n4en0wYZC5s,happy
ずっとずっとずっと,Ryokuoushoku Shakai,GaSM-9V18t8,happy
空と青,Leo Ieiri,QfTrEfSlF3k,happy
世界に一つだけの花,Noriyuki Makihara,qCFicvdFLmw,happy
恋,back number,ZWdYxQz4UqE,happy
ヒカリノアトリエ,Mr.Children,iftzIYdFLWY,happy
Life Is Still Going On,NCT DREAM,8khwZ4Dql_k,happy
今すぐKiss Me,LINDBERG,WfTkaKqQbGA,happy
ロマンスの神様,Kohmi Hirose,T8yZWCg85Cs,happy
HACK,Shuta Sueyoshi,aVxRk1CSAxo,happy
U.S.A.,DA PUMP,II3fZAL-1z8,happy
Gun,LUCKY TAPES,VpBFKHphF_Y,happy
Week End,Gen Hoshino,XXYlFuWEuKI,happy
燈,Soushi Sakiyama,4jWzGkRsHw8,happy
インフルエンサー,Nogizaka46,r4SdiT7mm7Y,happy
City Hunter -1985 Remix- by Emiri Kanou,ikkubaru,oKpaX1CR3Uk,happy
亜麻色の髪の乙女,Hitomi Shimatani,1nOIWI4OzD0,happy
インフルエンサー,Nogizaka46,r4SdiT7mm7Y,happy
ラブリー,Ozawa Kenji,EIz09kLzN9k,happy
マイ フレンド,ZARD,_A2th9RSL4U,happy
キケンナアソビ,Creep Hyp,qA48VwUeJ2M,happy
遠く遠く,Noriyuki Makihara,KQNT6hbgf6g,happy
どんなときも。,Noriyuki Makihara,b88pxLpMZKk,happy
私がオバさんになっても - シングル・ヴァージョン; 2012 Remaster,Chisato Moritaka,5HTuHZbujDE,happy
羞恥心,Shuchishin,tZjVrqBaQs8,happy
花,ORANGE RANGE,rY3JFD52ipk,happy
みんながみんな英雄 - フルバージョン,AI,tlETK9XC0OQ,happy
Overdose,natori,H08YWE4CIFQ,happy
かくれんぼ,AliA,oi8ArKYLwBY,happy
LONELY NIGHTS,tofubeats,ZvUm21CKgqw,happy
Wait & See ~リスク~,Hikaru Utada,4uTNVumfm84,happy
有頂天,B'z,9zWKogXzDoU,happy
同担☆拒否,HoneyWorks,kHJLQwTP3kU,happy
今夜だけ間違いじゃないことにしてあげる,Awesome City Club,3M6_LJG7si0,happy
さすらい,Tamio Okuda,pdbSLpBgQ2I,happy
ロマンスの約束,Lilas Ikuta,5r7ooPbDn-Q,happy
CROOKED - JPN,G-DRAGON,09opl8XCSYQ,happy
怪物,YOASOBI,dy90tA3TT1c,happy
レディメイド,Ado,jg09lNupc1s,happy
There will be love there －愛のある場所－,the brilliant green,gI0Fc4L_-QY,happy
追い風,SHE'S,6AD_-LSaXHE,happy
琥珀色の街、上海蟹の朝,Quruli,NyddMMiViZc,happy
Lifetime Respect,Mikidozan,deiQx1XxEl0,happy
君の太陽,Yamazaru,goZRt9BYBew,happy
fake face dance music,音田 雅則,QGe4-PEdu_4,happy
バニラ,Kyanai,gO7HMTgryd0,happy
渚にまつわるエトセトラ,Puffy AmiYumi,oVVrICEKdsQ,happy
何も言えなくて･･･夏,THE JAYWALK,sUJERrJO2wE,happy
そばにいるね,Thelma Aoyama,M80XXxMKFWw,happy
空を見なよ,Sharam Q,TZ4mIUsi8AY,happy
あー夏休み,TUBE,hXDkGFPJ9Ns,happy
晩餐歌,tuki.,IxW-ok1ekSY,happy
GLAMOROUS SKY,Nana,FZXghsN-W_o,happy
Butterfly,Kaela Kimura,-arWQe-m9SE,happy
Juggler,黒住憲五,Mn1_6SC6V9I,happy
あなたに会えてよかった,Kyoko Koizumi,0nvnYwi6mQE,happy
にんじゃりばんばん,Kyary Pamyu Pamyu,teMdjJ3w9iM,happy
innocent world,Mr.Children,rfVhsgCqG0I,happy
Joy to the love,globe,HqNGV38JiMc,happy
circus,showmore,HwAPLk_sQ3w,happy
名もなき詩,Mr.Children,4gd2oVFUcz0,happy
レイディ・ブルース,LUCKY TAPES,BiBTpQPCMtg,happy
Sweet and Sour,Nulbarich,PdPZNeGXzck,happy
ラブ・ストーリーは突然に,Kazumasa Oda,VwJruL9nBwQ,happy
Be With Me Tonight,Tempt,xVIb7Nf9a4w,happy
夏夜のマジック,indigo la End,IMU0ctb7E60,happy
春は溶けて,Radio Bootsy,FFYtACyofV4,happy
夏の午後はコバルト,Awesome City Club,JHDIX-RNgSY,happy
ふたりなら,Sui,_x1xYrq_V5U,happy
Tattoo,OFFICIAL HIGE DANDISM,_IqI2bf9CCQ,happy
CHE.R.RY,YUI,qh9Vwj1MgtE,happy
Troublemaker,ARASHI,4aQDOUbErNg,happy
アイドル,YOASOBI,ZRtdQ81jPUQ,happy
本当はね、,yangskinny,cxM_FmezzFA,happy
気分上々↑↑,Mihimaru GT,g0Pb5CDhndk,happy
No More Cry,D-51,RBUw93Yz6E4,happy
亜麻色の髪の乙女,Hitomi Shimatani,1nOIWI4OzD0,happy
ずっと,SPICY CHOCOLATE,-rJMGL7FOJ8,happy
J-POPは終わらない,SASUKE,l0s2-O-r0Xw,happy
ドキメキダイアリー,asmi,cL_M2MSzYQM,happy
GOING GOING HOME,H Jungle With t,lnaqHVaRbaU,happy
Movin' on without you,Hikaru Utada,9qU-JVtvXKw,happy
大人になるまで,evening cinema,N2hZfN7YNBM,happy
ポニーテールとシュシュ,AKB48,SwXtaahxjls,happy
イチブトゼンブ,B'z,eJ-FOKIFGKw,happy
ロビンソン,SPITZ,51CH3dPaWXc,happy
美しい鰭,SPITZ,KbGPM9jFeGg,happy
恋のつぼみ,Kumi Koda,FPFsaQRUsyc,happy
ベルベットの詩,back number,kNH3eExqWFw,happy
やってみよう,WANIMA,wdbW5Oqen44,happy
ロマンス宣言,Kaneko Ayano,cesF2lNMRZU,happy
ロビンソン,SPITZ,51CH3dPaWXc,happy
今すぐKiss Me,LINDBERG,WfTkaKqQbGA,happy
虹,Masaharu Fukuyama,hkBbUf4oGfA,happy
街の中で,YAJICO GIRL,tIo6nijqnL8,happy
more than words,Hitsujibungaku,kGY6N9DL4Jw,happy
There will be love there －愛のある場所－,the brilliant green,gI0Fc4L_-QY,happy
W / X / Y,Tani Yuuki,mp2-w15SXms,happy
Happiness,ARASHI,nkKDLiaMSXw,happy
There will be love there -愛のある場所-,the brilliant green,6eFvP096rME,happy
タイムマシーン・ラヴ,流線形,1mheZTVqkGI,happy
タイムマシーン・ラヴ,流線形,1mheZTVqkGI,happy
最高到達点,SEKAI NO OWARI,SR89b0qqRAg,happy
サイレントマジョリティー,Keyakizaka46,DeGkiItB9d8,happy
サヨナラ,GAO,H8a2k0cGmew,happy
LOVE SCENARIO,iKON,vecSVX1QYbQ,happy
"Aloha, E Komo Mai",Koichi Yamadera,agMsFUI9mjI,happy
洗濯機と君とラヂオ,Macaroni Empitsu,LLYPfI-cFcc,happy
愛を知るまでは,Aimyon,iytiWFxt09w,happy
ベテルギウス,Yuuri,cbqvxDTLMps,happy
田園,Anzen Chitai,j5O3kKfICXc,happy
インフィニティ,Yuuri,-iZw71QqJZg,happy
SANDIE,Michael Kaneko,Jw8dATsok2E,happy
HADASHi NO STEP,LiSA,56aCZIEm9fc,happy
summertime,cinnamons,E_wrJhXm7jo,happy
Time In Amber,Pictured Resort,eWyVjce-3AM,happy
Purple Dancer,Lucky Kilimanjaro,7RicSJtQVmI,happy
おやすみ泣き声、さよなら歌姫,Creep Hyp,GpADSdd68UI,happy
TOKYO NITE,竹内アンナ,QC1E3WkHLFM,happy
きらり,Fujii Kaze,TcLLpZBWsck,happy
ラブレター,YOASOBI,mnta9Pp2LqA,happy
センチメートル,the peggies,I1hLZ2OchZ8,happy
ラブレター,YOASOBI,mnta9Pp2LqA,happy
君に届け,flumpool,ZNu10SawQgc,happy
あびばのんのん,Tempalay,jY33kMPfopI,happy
あとひとつ,FUNKY MONKEY BABYS,ir5cF-EvBig,happy
涙のキッス,サザンオールスターズ,zUwxPNg9hoo,happy
涙がキラリ☆,SPITZ,hGsNLE45uWE,happy
ボーイフレンド,aiko,9Jh-FBYGaU4,happy
チェリー,SPITZ,Eze6-eHmtJg,happy
HELLO (Original Version),Masaharu Fukuyama,mHONNcZbwDY,happy
"Stand by me, Stand by you.",HIRAIDAI,Zy_KuTFwot4,happy
Secret of my heart,Mai Kuraki,u0-iM590YYA,happy
恋する季節,Naoto Inti Raymi,p1nOC68OJmI,happy
春泥棒,ヨルシカ,Sw1Flgub9s8,happy
ダンスホール,Mrs. GREEN APPLE,x2rvSf0STBM,happy
come again,m-flo,BtuOAnsuZBY,happy
Slow Dancing,V,eI0iTRS0Ha8,happy
声をきかせて,BIGBANG,oQjcJBGIFsA,happy
